Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
[21]     0.0    0.00    0.00    9287         Robot_play [21]
                0.00    0.00    9287/9287        Robot_default_play [20]
                0.00    0.00   21424/22600       Detect [40]
-----------------------------------------------
                0.00    0.00    3935/8936        Ball_handler [25]
                0.00    0.00    5001/8936        Robot_default_play [20]
[22]     0.0    0.00    0.00    8936         Check_robot_target [22]
                0.00    0.00     607/2598        Fire_normal_shots [17]
                0.00    0.00  220080/727529      Really_empty_space [32]
                0.00    0.00    8936/44318       Robot_default_get_data [37]
-----------------------------------------------
                0.00    0.00    3588/3588        Update_objects [13]
[23]     0.0    0.00    0.00    3588         Robot_update [23]
                0.00    0.00    9287/9287        Robot_play [21]
                0.00    0.00    9352/9352        Robot_check_leave [57]
                0.00    0.00       4/6           Send_base [165]
                0.00    0.00       4/4           Robot_create [182]
-----------------------------------------------
                0.00    0.00      63/63          Explode_fighter [18]
[24]     0.0    0.00    0.00      63         Make_wreckage [24]
                0.00    0.00     263/73383       Object_position_init_pixels [10]
-----------------------------------------------
                0.00    0.00    5465/5465        Robot_default_play [20]
[25]     0.0    0.00    0.00    5465         Ball_handler [25]
                0.00    0.00    3935/8936        Check_robot_target [22]
                0.00    0.00    5465/44318       Robot_default_get_data [37]
                0.00    0.00    4836/37404       Wrap_length [38]
                0.00    0.00     175/12639       Wrap_findDir [50]
-----------------------------------------------
                0.00    0.00    3588/3588        Update_objects [13]
[26]     0.0    0.00    0.00    3588         Compute_game_status [26]
                0.00    0.00       4/4           Team_game_over [28]
                0.00    0.00       4/4           Compute_end_of_round_values [174]
-----------------------------------------------
                0.00    0.00       4/4           Team_game_over [28]
[27]     0.0    0.00    0.00       4         Reset_all_players [27]
                0.00    0.00      20/83          Kill_player [19]
                0.00    0.00       8/15          Make_treasure_ball [29]
                0.00    0.00      20/83          Player_death_reset [123]
                0.00    0.00      20/20          Rank_add_round [151]
                0.00    0.00      20/131         Send_score [111]
                0.00    0.00       8/73235       Delete_shot [36]
                0.00    0.00       4/61          Update_score_table [139]
                0.00    0.00       4/4           Rank_write_webpage [180]
-----------------------------------------------
                0.00    0.00       4/4           Compute_game_status [26]
[28]     0.0    0.00    0.00       4         Team_game_over [28]
                0.00    0.00       4/4           Reset_all_players [27]
                0.00    0.00       4/77          Send_message [128]
                0.00    0.00       4/77          Set_message [129]
                0.00    0.00       4/4           Give_best_player_bonus [176]
                0.00    0.00       4/4           Give_individual_bonus [177]
                0.00    0.00       4/4           Rank_write_rankfile [179]
                0.00    0.00       4/4           Count_rounds [175]
-----------------------------------------------
